time,exit_time,direction,entry,exit,lot,pnl,commission,result,regime,ai_score,spread,slippage,session
2025-11-06 04:35:00+00:00,2025-11-06 07:00:00+00:00,BUY,3986.74192,3998.40219,0.1,116.25,0.7,TP,HIGH_VOLATILITY,0.8,48.92,0.57,TOKYO
2025-11-06 09:50:00+00:00,2025-11-06 12:50:00+00:00,BUY,4011.9936,4003.45739,0.1,-85.71,0.7,SL,TRENDING,0.8,44.81,0.99,TOKYO
2025-11-06 19:15:00+00:00,2025-11-07 01:40:00+00:00,SELL,3995.07011,4002.45513,0.04,-29.68,0.28,SL,HIGH_VOLATILITY,0.8,31.91,0.69,NEW_YORK
2025-11-07 03:55:00+00:00,2025-11-07 06:50:00+00:00,BUY,3990.81433,4006.74407,0.07,111.26,0.49,TP,HIGH_VOLATILITY,0.8,42.14,0.89,TOKYO
2025-11-07 08:05:00+00:00,2025-11-07 11:30:00+00:00,BUY,4006.39187,3998.0277,0.1,-83.99,0.7,SL,TRENDING,0.8,55.74,0.98,TOKYO
2025-11-07 21:35:00+00:00,2025-11-09 23:00:00+00:00,BUY,4000.79675,4004.10554,0.04,13.1,0.14,GAP,HIGH_VOLATILITY,0.8,0.0,77.05,NEW_YORK
2025-11-10 05:05:00+00:00,2025-11-10 05:50:00+00:00,BUY,4052.15236,4065.49916,0.09,119.81,0.63,TP,TRENDING,0.8,39.67,0.99,TOKYO
2025-11-10 10:35:00+00:00,2025-11-10 13:00:00+00:00,BUY,4078.8575,4101.09605,0.11,244.24,0.77,TP,TRENDING,0.8,23.39,0.97,LONDON
2025-11-10 14:20:00+00:00,2025-11-10 14:30:00+00:00,BUY,4083.51951,4075.47754,0.14,-113.08,0.98,SL,TRENDING,0.8,28.97,1.39,LONDON
2025-11-10 20:20:00+00:00,2025-11-11 00:25:00+00:00,BUY,4107.56178,4124.41428,0.08,134.54,0.56,TP,TRENDING,0.8,30.87,1.11,NEW_YORK
2025-11-11 02:35:00+00:00,2025-11-11 03:30:00+00:00,BUY,4131.16603,4147.71596,0.14,231.21,0.98,TP,TRENDING,0.8,31.46,1.25,TOKYO
2025-11-11 04:35:00+00:00,2025-11-11 05:05:00+00:00,BUY,4144.66407,4136.85234,0.15,-117.7,1.05,SL,TRENDING,0.8,40.58,0.45,TOKYO
2025-11-11 07:05:00+00:00,2025-11-11 09:05:00+00:00,BUY,4127.1187,4142.38043,0.18,274.08,1.26,TP,RANGING,0.8,38.91,1.3,TOKYO
2025-11-11 10:35:00+00:00,2025-11-11 14:20:00+00:00,BUY,4138.94923,4132.20703,0.18,-121.99,1.26,SL,HIGH_VOLATILITY,0.8,24.64,0.53,LONDON
2025-11-11 21:35:00+00:00,2025-11-12 02:50:00+00:00,BUY,4128.70384,4120.50665,0.07,-57.63,0.49,SL,HIGH_VOLATILITY,0.8,27.2,0.91,NEW_YORK
2025-11-12 05:30:00+00:00,2025-11-12 07:10:00+00:00,BUY,4105.85708,4123.58186,0.14,247.66,0.98,TP,HIGH_VOLATILITY,0.8,41.82,0.92,TOKYO
2025-11-12 07:45:00+00:00,2025-11-12 12:25:00+00:00,BUY,4114.68398,4135.23541,0.15,307.75,1.05,TP,HIGH_VOLATILITY,0.8,38.83,0.65,TOKYO
2025-11-12 13:20:00+00:00,2025-11-12 15:05:00+00:00,BUY,4123.95207,4142.938,0.19,360.07,1.33,TP,HIGH_VOLATILITY,0.8,34.58,1.26,LONDON
2025-11-12 23:40:00+00:00,2025-11-13 00:50:00+00:00,BUY,4189.36262,4206.63074,0.08,137.86,0.56,TP,TRENDING,0.8,28.74,1.49,NEW_YORK
2025-11-14 01:30:00+00:00,2025-11-14 02:20:00+00:00,BUY,4175.23719,4196.21556,0.16,335.09,1.12,TP,HIGH_VOLATILITY,0.8,36.85,0.95,TOKYO
2025-11-17 09:35:00+00:00,2025-11-17 10:50:00+00:00,SELL,4088.67473,4072.03523,0.19,315.49,1.33,TP,HIGH_VOLATILITY,0.8,34.41,1.13,TOKYO
2025-11-18 23:10:00+00:00,2025-11-19 01:55:00+00:00,SELL,4072.18987,4057.41196,0.06,88.46,0.42,TP,TRENDING,0.8,30.99,0.51,NEW_YORK
